tweet_id,tweet_text,polarity
83,@freakyFadey @Alex_Houseof308 Let me your juice wrld while I play goodbye and good riddance you dance and we ride a death face for love.,positive
84,RT @lenhle9: So y'all call this twerkin' when its a traditional dance to some tribes!!!?🤣🤣🤣🤣 https://t.co/bBYZfuuWBp,positive
85,"It's time to Meet The Night Owls! Meet Jordan Wickett, a pipe fitter and bass player from Dudley. Jordan loved Owls… https://t.co/g4F6OVFfXo",positive
86,RT @BaileyyLouiseee: Everytime I watch these guys I want to get up and dance then I remember I cant dance in the slightest 😂😂 https://t.co/…,negative
87,RT @ColesTwitt3r: In 2016 I was cast on a reality dance competition show for influencers. It’s apparent that they only cast me based off th…,positive
88,RT @GWPerfArts: Dance is definitely for everyone and that’s why we’re proud to say that ALL our students get to study dance at KS3 and then…,negative
89,"RT @seulpics: Seulgi, as one of the dance kings recognized by BoA, also picked her ""next-generation"" girl group dance kings on Weekly Idol:…",positive
90,"RT @misayeon: RV Seulgi mentioned TWICE Momo as one of the idols who she thinks is a ""Dance God/Dance Queen"" among girl groups on Weekly Id…",positive
91,"You've gotta dance like there's nobody watching,
Love like you'll never be hurt,
Sing like there's nobody listening… https://t.co/2L7GJeUfdg",positive
92,@Okafor_Mang It's because of how we dance. 😂 touching body,negative
93,RT @YogaflameRadio: Official #Escapism Demo video! Woke up this morning and wanted to record a quick music video so here it is! The dance m…,positive
94,Your favorite songs music rock pop dance latino '74-'75 by The Connells on https://t.co/RPeSUMAj2v https://t.co/aIJysmnHiQ,positive
95,Leroc is frenetic Tango is precise Dance  is nude and so on,neutral
96,RT @ColesTwitt3r: In 2016 I was cast on a reality dance competition show for influencers. It’s apparent that they only cast me based off th…,positive
97,"RT @NexusSites: This mod for #DarkSouls3 changes the bow gesture into a Fornite dance. 

https://t.co/LKTAHKIt99

#NexusMods #DarkSoul3Mods…",positive
98,RT @hobi_twtt: the way hoseok has to sprint to get ready for just dance after performing one of the toughest starting setlist ever &amp; still…,positive
99,"RT @SuperStrictly: When asked her favourite moment of #strictlycomedancing 2017, @ShirleyBallas said ""when the Reverend Richard Coles came…",negative
100,"RT @taekookmemories: NEVER FORGET: the iconic taekook dance in otsukare where everyone thought it’s their mating ritual💕

https://t.co/UIWg…",positive
